   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.0101010101010102e-02	   9.3703506278569300e-04	
   2.0202020202020204e-02	   1.8752635329576349e-03	
   3.0303030303030304e-02	   2.8144971310637961e-03	
   4.0404040404040407e-02	   3.7545422454632904e-03	
   5.0505050505050504e-02	   4.6951997156879548e-03	
   6.0606060606060608e-02	   5.6362646031426428e-03	
   7.0707070707070704e-02	   6.5775259484443264e-03	
   8.0808080808080815e-02	   7.5187665146677395e-03	
   9.0909090909090912e-02	   8.4597625157317585e-03	
   1.0101010101010101e-01	   9.4002833291259354e-03	
   1.1111111111111110e-01	   1.0340091192140454e-02	
   1.2121212121212122e-01	   1.1278940880725398e-02	
   1.3131313131313133e-01	   1.2216579370066358e-02	
   1.4141414141414141e-01	   1.3152745475923157e-02	
   1.5151515151515152e-01	   1.4087169475736731e-02	
   1.6161616161616163e-01	   1.5019572708465864e-02	
   1.7171717171717171e-01	   1.5949667152070617e-02	
   1.8181818181818182e-01	   1.6877154977512708e-02	
   1.9191919191919191e-01	   1.7801728078094801e-02	
   2.0202020202020202e-01	   1.8723067572910548e-02	
   2.1212121212121213e-01	   1.9640843283125334e-02	
   2.2222222222222221e-01	   2.0554713179753669e-02	
   2.3232323232323232e-01	   2.1464322801543367e-02	
   2.4242424242424243e-01	   2.2369304641518470e-02	
   2.5252525252525254e-01	   2.3269277500672737e-02	
   2.6262626262626265e-01	   2.4163845807242967e-02	
   2.7272727272727271e-01	   2.5052598899926344e-02	
   2.8282828282828282e-01	   2.5935110273338773e-02	
   2.9292929292929293e-01	   2.6810936783940763e-02	
   3.0303030303030304e-01	   2.7679617814584858e-02	
   3.1313131313131315e-01	   2.8540674395762546e-02	
   3.2323232323232326e-01	   2.9393608281549993e-02	
   3.3333333333333331e-01	   3.0237900978169741e-02	
   3.4343434343434343e-01	   3.1073012723000115e-02	
   3.5353535353535354e-01	   3.1898381411775076e-02	
   3.6363636363636365e-01	   3.2713421471624399e-02	
   3.7373737373737376e-01	   3.3517522677507267e-02	
   3.8383838383838381e-01	   3.4310048909491221e-02	
   3.9393939393939392e-01	   3.5090336848222874e-02	
   4.0404040404040403e-01	   3.5857694605826190e-02	
   4.1414141414141414e-01	   3.6611400289348763e-02	
   4.2424242424242425e-01	   3.7350700493755266e-02	
   4.3434343434343436e-01	   3.8074808721340378e-02	
   4.4444444444444442e-01	   3.8782903724300398e-02	
   4.5454545454545453e-01	   3.9474127767062363e-02	
   4.6464646464646464e-01	   4.0147584804822861e-02	
   4.7474747474747475e-01	   4.0802338574593006e-02	
   4.8484848484848486e-01	   4.1437410594883171e-02	
   4.9494949494949497e-01	   4.2051778069988048e-02	
   5.0505050505050508e-01	   4.2644371694650476e-02	
   5.1515151515151514e-01	   4.3214073354689256e-02	
   5.2525252525252530e-01	   4.3759713718971714e-02	
   5.3535353535353536e-01	   4.4280069717894568e-02	
   5.4545454545454541e-01	   4.4773861903305789e-02	
   5.5555555555555558e-01	   4.5239751684554824e-02	
   5.6565656565656564e-01	   4.5676338435096671e-02	
   5.7575757575757580e-01	   4.6082156463795987e-02	
   5.8585858585858586e-01	   4.6455671844778987e-02	
   5.9595959595959591e-01	   4.6795279099361535e-02	
   6.0606060606060608e-01	   4.7099297723239335e-02	
   6.1616161616161613e-01	   4.7365968551758987e-02	
   6.2626262626262630e-01	   4.7593449955694013e-02	
   6.3636363636363635e-01	   4.7779813859525198e-02	
   6.4646464646464652e-01	   4.7923041573767609e-02	
   6.5656565656565657e-01	   4.8021019432393397e-02	
   6.6666666666666663e-01	   4.8071534225867144e-02	
   6.7676767676767680e-01	   4.8072268419735588e-02	
   6.8686868686868685e-01	   4.8020795148091218e-02	
   6.9696969696969702e-01	   4.7914572970556076e-02	
   7.0707070707070707e-01	   4.7750940380702295e-02	
   7.1717171717171713e-01	   4.7527110053035317e-02	
   7.2727272727272729e-01	   4.7240162814807418e-02	
   7.3737373737373735e-01	   4.6887041327998417e-02	
   7.4747474747474751e-01	   4.6464543465789189e-02	
   7.5757575757575757e-01	   4.5969315366755879e-02	
   7.6767676767676762e-01	   4.5397844148819873e-02	
   7.7777777777777779e-01	   4.4746450263692963e-02	
   7.8787878787878785e-01	   4.4011279471149661e-02	
   7.9797979797979801e-01	   4.3188294410929841e-02	
   8.0808080808080807e-01	   4.2273265748414952e-02	
   8.1818181818181823e-01	   4.1261762868419365e-02	
   8.2828282828282829e-01	   4.0149144089484147e-02	
   8.3838383838383834e-01	   3.8930546368941936e-02	
   8.4848484848484851e-01	   3.7600874466727212e-02	
   8.5858585858585856e-01	   3.6154789533423937e-02	
   8.6868686868686873e-01	   3.4586697085359816e-02	
   8.7878787878787878e-01	   3.2890734326661966e-02	
   8.8888888888888884e-01	   3.1060756775070079e-02	
   8.9898989898989901e-01	   2.9090324144949838e-02	
   9.0909090909090906e-01	   2.6972685437350742e-02	
   9.1919191919191923e-01	   2.4700763183100518e-02	
   9.2929292929292928e-01	   2.2267136780815776e-02	
   9.3939393939393945e-01	   1.9664024867331903e-02	
   9.4949494949494950e-01	   1.6883266653413349e-02	
   9.5959595959595956e-01	   1.3916302152702210e-02	
   9.6969696969696972e-01	   1.0754151226706874e-02	
   9.7979797979797978e-01	   7.3873913632386840e-03	
   9.8989898989898994e-01	   3.8061341000956671e-03	
   1.0000000000000000e+00	   0.0000000000000000e+00	
